@ALLOWAUTOMATICDELETION,@TEMPLATE,@NAME,@TYPE,@DESCRIPTION,@VALIDATED,@DATEVALIDATED,@WHENUPDATED,@EXPORTFLAG,@UNIQUEIDENTIFIER,@WHENCREATED,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:10:02,0,22e608264ced11e880d5000d3a02ed0d,2018-05-01T03:10:02,024c5ce241a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:10:05,0,22e6082c4ced11e880d5000d3a02ed0d,2018-05-01T03:10:05,024c5ce641a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:10:09,0,22e608354ced11e880d5000d3a02ed0d,2018-05-01T03:10:09,024c5cea41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:10:30,0,3047f7ee4ced11e880d5000d3a02ed0d,2018-05-01T03:10:30,024c5cf041a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:10:32,0,3047f7f14ced11e880d5000d3a02ed0d,2018-05-01T03:10:32,024c5cf441a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:10:34,0,3047f7f74ced11e880d5000d3a02ed0d,2018-05-01T03:10:34,024c5cf841a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:11:00,0,4472dacb4ced11e880d5000d3a02ed0d,2018-05-01T03:11:00,024c5cff41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:11:04,0,4472dad44ced11e880d5000d3a02ed0d,2018-05-01T03:11:04,024c5d0341a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:11:42,0,5e0d9f224ced11e880d5000d3a02ed0d,2018-05-01T03:11:42,024c5cfb41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,f2c7e676637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:12:02,0,6a5477a24ced11e880d5000d3a02ed0d,2018-05-01T03:12:02,024c5cec41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:12:18,0,706e1c4d4ced11e880d5000d3a02ed0d,2018-05-01T03:12:18,fc5350d341a611e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,ec54f51b637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
0,0,,,,0,1899-12-30T00:00:00,2018-05-01T03:12:25,0,766d8e474ced11e880d5000d3a02ed0d,2018-05-01T03:12:25,024c5cde41a711e880d5000d3a02ed0d,FRAMEWORXKEYINDICATORS,f2c7e677637011e4925a6817294aebff,FRAMEWORXCATEGORY,DFREED,DFREED,DFREED
